id,jenis,warna,image_array
363,1,3,"[[[254 254 254]
  [254 254 254]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [252 252 252]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [254 254 254]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [255 255 255]
  [254 254 254]
  ...
  [251 251 251]
  [254 254 254]
  [255 255 255]]

 ...

 [[254 254 254]
  [255 255 255]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [254 254 254]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
364,0,4,"[[[ 58  60  55]
  [ 58  60  55]
  [ 58  60  55]
  ...
  [ 46  48  43]
  [ 46  48  43]
  [ 46  48  43]]

 [[ 58  60  55]
  [ 58  60  55]
  [ 58  60  55]
  ...
  [ 46  48  43]
  [ 46  48  43]
  [ 46  48  43]]

 [[ 59  61  56]
  [ 59  61  56]
  [ 59  61  56]
  ...
  [ 47  49  44]
  [ 46  48  43]
  [ 46  48  43]]

 ...

 [[150 152 149]
  [151 153 150]
  [152 154 151]
  ...
  [154 155 150]
  [153 154 149]
  [152 153 148]]

 [[150 152 149]
  [151 153 150]
  [152 154 151]
  ...
  [154 155 150]
  [153 154 149]
  [152 153 148]]

 [[150 152 149]
  [151 153 150]
  [152 154 151]
  ...
  [154 155 150]
  [153 154 149]
  [152 153 148]]]"
365,1,1,"[[[ 36  61  81]
  [ 39  61  82]
  [ 42  62  86]
  ...
  [ 55  83 107]
  [ 55  83 107]
  [ 55  83 107]]

 [[ 36  61  81]
  [ 39  61  82]
  [ 40  62  85]
  ...
  [ 57  85 109]
  [ 57  85 109]
  [ 57  85 109]]

 [[ 36  61  81]
  [ 39  61  82]
  [ 40  62  85]
  ...
  [ 57  85 109]
  [ 57  85 109]
  [ 56  84 108]]

 ...

 [[118 152 162]
  [121 155 165]
  [121 155 165]
  ...
  [ 50  42  31]
  [ 51  41  31]
  [ 55  45  35]]

 [[127 157 168]
  [127 157 168]
  [127 155 166]
  ...
  [ 47  38  29]
  [ 49  40  31]
  [ 48  40  29]]

 [[124 152 166]
  [127 153 166]
  [120 147 158]
  ...
  [ 51  44  34]
  [ 56  49  39]
  [ 52  46  34]]]"
366,0,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
367,1,3,"[[[226 226 224]
  [222 222 220]
  [225 225 223]
  ...
  [198 199 193]
  [198 199 193]
  [198 199 193]]

 [[225 225 223]
  [222 222 220]
  [225 225 223]
  ...
  [198 199 193]
  [198 199 193]
  [198 199 193]]

 [[225 225 223]
  [222 222 220]
  [225 225 223]
  ...
  [198 199 193]
  [198 199 193]
  [198 199 193]]

 ...

 [[202 201 206]
  [201 200 205]
  [200 199 204]
  ...
  [195 190 186]
  [195 190 186]
  [193 188 184]]

 [[200 199 204]
  [199 198 203]
  [198 197 202]
  ...
  [194 189 185]
  [194 189 185]
  [192 187 183]]

 [[202 201 206]
  [201 200 205]
  [199 198 203]
  ...
  [193 188 184]
  [192 187 183]
  [191 186 182]]]"
368,1,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
369,0,2,"[[[138 138 138]
  [138 138 138]
  [138 138 138]
  ...
  [234 196   1]
  [234 196   1]
  [234 196   1]]

 [[138 138 138]
  [138 138 138]
  [138 138 138]
  ...
  [234 196   1]
  [234 196   1]
  [234 196   1]]

 [[138 138 138]
  [138 138 138]
  [138 138 138]
  ...
  [234 196   1]
  [234 196   1]
  [234 196   1]]

 ...

 [[234 196   1]
  [234 196   1]
  [234 196   1]
  ...
  [138 138 138]
  [138 138 138]
  [138 138 138]]

 [[234 196   1]
  [234 196   1]
  [234 196   1]
  ...
  [138 138 138]
  [138 138 138]
  [138 138 138]]

 [[234 196   1]
  [234 196   1]
  [234 196   1]
  ...
  [138 138 138]
  [138 138 138]
  [138 138 138]]]"
370,1,1,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
371,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
372,1,0,"[[[247 249 248]
  [247 249 248]
  [247 249 248]
  ...
  [ 45  38  32]
  [ 49  42  36]
  [ 51  44  38]]

 [[247 249 248]
  [247 249 248]
  [247 249 248]
  ...
  [ 54  45  40]
  [ 49  40  35]
  [ 42  33  28]]

 [[247 249 248]
  [247 249 248]
  [247 249 248]
  ...
  [ 60  47  41]
  [ 54  43  37]
  [ 47  36  30]]

 ...

 [[158 194 210]
  [143 179 195]
  [151 187 203]
  ...
  [168 120 118]
  [112  79  62]
  [ 95  74  45]]

 [[159 195 211]
  [142 178 194]
  [149 185 201]
  ...
  [149 100 103]
  [126  87  82]
  [101  71  60]]

 [[160 193 210]
  [141 174 191]
  [148 181 198]
  ...
  [194 144 153]
  [192 147 152]
  [190 151 152]]]"
373,0,0,"[[[181 185 194]
  [181 185 194]
  [181 185 194]
  ...
  [177 178 183]
  [175 176 181]
  [173 174 179]]

 [[182 186 195]
  [182 186 195]
  [182 186 195]
  ...
  [176 177 182]
  [175 176 181]
  [174 175 180]]

 [[182 186 195]
  [182 186 195]
  [182 186 195]
  ...
  [175 176 181]
  [175 176 181]
  [176 177 182]]

 ...

 [[181 186 192]
  [180 185 191]
  [181 186 192]
  ...
  [164 159 163]
  [163 159 160]
  [162 158 159]]

 [[180 185 191]
  [181 186 192]
  [182 187 193]
  ...
  [163 158 162]
  [162 158 159]
  [161 157 158]]

 [[180 185 191]
  [182 187 193]
  [184 189 195]
  ...
  [162 157 161]
  [161 157 158]
  [160 156 157]]]"
374,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
375,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
376,0,1,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
377,1,3,"[[[163 163 163]
  [164 164 164]
  [165 165 165]
  ...
  [165 165 165]
  [164 164 164]
  [163 163 163]]

 [[163 163 163]
  [164 164 164]
  [165 165 165]
  ...
  [165 165 165]
  [164 164 164]
  [163 163 163]]

 [[163 163 163]
  [164 164 164]
  [165 165 165]
  ...
  [165 165 165]
  [164 164 164]
  [163 163 163]]

 ...

 [[163 163 163]
  [164 164 164]
  [165 165 165]
  ...
  [165 165 165]
  [164 164 164]
  [163 163 163]]

 [[163 163 163]
  [164 164 164]
  [165 165 165]
  ...
  [165 165 165]
  [164 164 164]
  [163 163 163]]

 [[163 163 163]
  [164 164 164]
  [165 165 165]
  ...
  [165 165 165]
  [164 164 164]
  [163 163 163]]]"
378,0,2,"[[[131 122 127]
  [133 124 129]
  [135 126 131]
  ...
  [247 247 249]
  [247 247 249]
  [247 247 249]]

 [[247 242 246]
  [247 242 246]
  [248 243 247]
  ...
  [247 247 249]
  [247 247 249]
  [247 247 249]]

 [[235 235 237]
  [235 235 237]
  [235 235 237]
  ...
  [247 247 249]
  [247 247 249]
  [247 247 249]]

 ...

 [[232 232 232]
  [232 232 232]
  [233 233 233]
  ...
  [247 247 249]
  [247 247 249]
  [247 247 249]]

 [[232 232 232]
  [232 232 232]
  [233 233 233]
  ...
  [247 247 249]
  [247 247 249]
  [247 247 249]]

 [[232 232 232]
  [232 232 232]
  [233 233 233]
  ...
  [247 247 249]
  [247 247 249]
  [247 247 249]]]"
379,0,1,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
380,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [254 254 254]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]"
381,1,1,"[[[179 185 185]
  [180 186 186]
  [182 188 188]
  ...
  [166 175 174]
  [157 166 165]
  [145 154 153]]

 [[181 187 187]
  [182 188 188]
  [183 189 189]
  ...
  [167 176 175]
  [159 168 167]
  [148 157 156]]

 [[182 188 188]
  [183 189 189]
  [184 190 190]
  ...
  [168 177 176]
  [162 171 170]
  [152 161 160]]

 ...

 [[184 190 190]
  [185 191 191]
  [187 193 193]
  ...
  [174 177 182]
  [174 177 182]
  [174 177 182]]

 [[184 190 190]
  [185 191 191]
  [187 193 193]
  ...
  [174 179 182]
  [174 179 182]
  [174 179 182]]

 [[184 190 190]
  [185 191 191]
  [187 193 193]
  ...
  [172 181 180]
  [172 181 180]
  [174 180 180]]]"
382,0,1,"[[[245 250 253]
  [239 247 250]
  [242 250 253]
  ...
  [242 247 251]
  [242 247 251]
  [242 247 251]]

 [[242 247 251]
  [239 244 248]
  [246 251 255]
  ...
  [242 247 251]
  [242 247 251]
  [242 247 251]]

 [[246 247 252]
  [243 246 251]
  [241 246 250]
  ...
  [242 247 251]
  [242 247 251]
  [242 247 251]]

 ...

 [[243 248 252]
  [244 249 253]
  [242 247 251]
  ...
  [239 249 251]
  [245 250 254]
  [243 246 251]]

 [[244 247 252]
  [241 244 249]
  [242 245 250]
  ...
  [228 238 240]
  [245 250 254]
  [246 247 252]]

 [[245 248 253]
  [241 244 249]
  [243 248 252]
  ...
  [219 229 231]
  [243 248 252]
  [245 246 251]]]"
383,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
384,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
385,0,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
386,0,1,"[[[255 248   0]
  [255 248   0]
  [255 248   0]
  ...
  [255 248   0]
  [255 248   0]
  [255 248   0]]

 [[255 248   0]
  [255 248   0]
  [255 248   0]
  ...
  [255 248   0]
  [255 248   0]
  [255 248   0]]

 [[255 248   0]
  [255 248   0]
  [255 248   0]
  ...
  [255 248   0]
  [255 248   0]
  [255 248   0]]

 ...

 [[255 248   0]
  [255 248   0]
  [255 248   0]
  ...
  [255 248   0]
  [255 248   0]
  [255 248   0]]

 [[255 248   0]
  [255 248   0]
  [255 248   0]
  ...
  [255 248   0]
  [255 248   0]
  [255 248   0]]

 [[255 248   0]
  [255 248   0]
  [255 248   0]
  ...
  [255 248   0]
  [255 248   0]
  [255 248   0]]]"
387,0,1,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
388,0,2,"[[[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 ...

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]]"
389,0,3,"[[[239 239 239]
  [239 239 239]
  [239 239 239]
  ...
  [239 239 239]
  [239 239 239]
  [239 239 239]]

 [[239 239 239]
  [239 239 239]
  [239 239 239]
  ...
  [239 239 239]
  [239 239 239]
  [239 239 239]]

 [[239 239 239]
  [239 239 239]
  [238 238 238]
  ...
  [238 238 238]
  [239 239 239]
  [239 239 239]]

 ...

 [[239 239 239]
  [239 239 239]
  [238 238 238]
  ...
  [238 238 238]
  [239 239 239]
  [239 239 239]]

 [[239 239 239]
  [239 239 239]
  [239 239 239]
  ...
  [239 239 239]
  [239 239 239]
  [239 239 239]]

 [[239 239 239]
  [239 239 239]
  [239 239 239]
  ...
  [239 239 239]
  [239 239 239]
  [239 239 239]]]"
390,0,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
391,0,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 34  33 109]
  [ 24  36  84]
  [  2  11  40]
  ...
  [  0   0  38]
  [  4   3  43]
  [  8   7  47]]

 [[ 34  28  64]
  [ 29  26  73]
  [ 29  20  63]
  ...
  [  0   0  39]
  [  5   4  44]
  [  3   2  42]]

 [[  0   4  36]
  [ 18  13  54]
  [ 32  37 103]
  ...
  [ 14  13  53]
  [  3   2  42]
  [  0   0  39]]]"
392,0,3,"[[[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [252 252 252]
  [252 252 252]
  [252 252 252]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [252 252 252]
  [252 252 252]
  [252 252 252]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [252 252 252]
  [252 252 252]
  [252 252 252]]

 ...

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [252 252 252]
  [252 252 252]
  [252 252 252]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [252 252 252]
  [252 252 252]
  [252 252 252]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [252 252 252]
  [252 252 252]
  [252 252 252]]]"
393,0,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
394,0,4,"[[[197 197 197]
  [197 197 197]
  [197 197 197]
  ...
  [200 200 200]
  [200 200 200]
  [200 200 200]]

 [[197 197 197]
  [197 197 197]
  [197 197 197]
  ...
  [200 200 200]
  [200 200 200]
  [200 200 200]]

 [[197 197 197]
  [197 197 197]
  [197 197 197]
  ...
  [200 200 200]
  [200 200 200]
  [200 200 200]]

 ...

 [[140 140 140]
  [140 140 140]
  [140 140 140]
  ...
  [144 144 144]
  [144 144 144]
  [144 144 144]]

 [[140 140 140]
  [140 140 140]
  [140 140 140]
  ...
  [143 143 143]
  [143 143 143]
  [144 144 144]]

 [[140 140 140]
  [140 140 140]
  [140 140 140]
  ...
  [143 143 143]
  [143 143 143]
  [143 143 143]]]"
395,0,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
396,1,0,"[[[236 236 236]
  [237 237 237]
  [237 237 237]
  ...
  [239 239 239]
  [238 238 238]
  [238 238 238]]

 [[237 237 237]
  [237 237 237]
  [237 237 237]
  ...
  [239 239 239]
  [238 238 238]
  [238 238 238]]

 [[237 237 237]
  [237 237 237]
  [237 237 237]
  ...
  [239 239 239]
  [239 239 239]
  [239 239 239]]

 ...

 [[237 237 237]
  [237 237 237]
  [236 236 236]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[237 237 237]
  [236 236 236]
  [236 236 236]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[237 237 237]
  [236 236 236]
  [236 236 236]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]]"
397,0,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
398,1,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
399,1,4,"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]"
